title,address,area,room_number,furnishing,price
Apartment Keizersgracht,1016 EG Amsterdam (Grachtengordel-West),270 m²,4 rooms,Upholstered,"€6,000 per month"
Apartment Ruysdaelkade 77 4,1072 AL Amsterdam (Oude Pijp),49 m²,2 rooms,Furnished,"€2,000 per month"
Studio Raamgracht,1011 KH Amsterdam (Nieuwmarkt/Lastage),45 m²,1 room,Upholstered,"€1,850 per month"
Apartment Pretoriusstraat,1092 EX Amsterdam (Transvaalbuurt),65 m²,2 rooms,Upholstered,"€1,695 per month"
House Gooise Kant,"1104 MM Amsterdam (Bijlmer Oost (E,G,K))",107 m²,5 rooms,Upholstered,"€2,250 per month"
Apartment Ruysdaelstraat,1071 XE Amsterdam (Museumkwartier),52 m²,3 rooms,Upholstered,"€1,750 per month"
Apartment Kromme-Mijdrechtstraat,1079 KP Amsterdam (Rijnbuurt),86 m²,3 rooms,Upholstered,"€2,500 per month"
Apartment Scherpenzeelstraat 141,1107 HT Amsterdam (Holendrecht/Reigersbos),71 m²,3 rooms,Furnished,"€1,800 per month"
Apartment Ertskade 268,1019 BB Amsterdam (Oostelijk Havengebied),123 m²,4 rooms,Shell,"€2,400 per month"
Apartment Bosboom Toussaintstraat,1054 AN Amsterdam (Helmersbuurt),125 m²,4 rooms,Upholstered,"€3,000 per month"
Apartment Kerkstraat,1017 HC Amsterdam (Grachtengordel-Zuid),105 m²,3 rooms,Upholstered,"€2,550 per month"
Studio Nieuwezijds Voorburgwal,1012 RD Amsterdam (Burgwallen-Nieuwe Zijde),25 m²,1 room,Furnished,"€1,350 per month"
Apartment Johan Hofmanstraat,1069 KE Amsterdam (Osdorp-Midden),96 m²,3 rooms,Furnished,"€2,250 per month"
House Piet Zwarthof 63,1087 AX Amsterdam (IJburg West),120 m²,4 rooms,Furnished,"€2,500 per month"
Apartment Kromme Leimuidenstraat,1059 EL Amsterdam (Hoofddorppleinbuurt),57 m²,2 rooms,Furnished,"€2,300 per month"
Apartment Herengracht,1015 BG Amsterdam (Grachtengordel-West),78 m²,3 rooms,Upholstered,"€2,500 per month"
Apartment Oostenburgervoorstraat 12,1018 MR Amsterdam (Oostelijke Eilanden/Kadijken),60 m²,2 rooms,Furnished,"€1,800 per month"
House Vrijheidslaan 5 a,1079 KA Amsterdam (Rijnbuurt),170 m²,4 rooms,Upholstered,"€3,150 per month"
Apartment Keizersgracht,1016 EG Amsterdam (Grachtengordel-West),270 m²,4 rooms,Upholstered,"€6,000 per month"
Apartment Ruysdaelkade 197 2,1072 AV Amsterdam (Nieuwe Pijp),73 m²,3 rooms,Upholstered or furnished,"€1,995 per month"
Studio Barndesteeg,1012 BV Amsterdam (Burgwallen-Oude Zijde),35 m²,1 room,Upholstered,"€1,500 per month"
Apartment Kinkerstraat,1053 EN Amsterdam (Kinkerbuurt),45 m²,1 room,Furnished,"€1,750 per month"
Apartment Valeriusstraat 110 huis,1075 GC Amsterdam (Willemspark),225 m²,7 rooms,Upholstered,"€6,500 per month"
Apartment Tweede Oosterparkstraat 184 H,1092 BT Amsterdam (Oosterparkbuurt),84 m²,3 rooms,Upholstered,"€2,100 per month"
Apartment Sumatrakade,1019 RM Amsterdam (Oostelijk Havengebied),94 m²,3 rooms,Upholstered,"€2,100 per month"
Apartment Eerste Atjehstraat,1094 KA Amsterdam (Indische Buurt West),30 m²,1 room,Furnished,"€1,250 per month"
Apartment Nieuwendijk,1012 MD Amsterdam (Burgwallen-Nieuwe Zijde),40 m²,2 rooms,Furnished,"€1,400 per month"
Apartment Omval,1096 AA Amsterdam (Omval/Overamstel),107 m²,3 rooms,Upholstered,"€2,250 per month"
Apartment Jan Zijvertszstraat 2 HS,1067 XH Amsterdam (Geuzenveld),59 m²,3 rooms,Upholstered,"€1,550 per month"
Apartment Brouwersgracht 5 F,1015 GA Amsterdam (Grachtengordel-West),70 m²,2 rooms,Furnished,"€1,900 per month"
Apartment Beemsterstraat 546 G11,1024 BV Amsterdam (Waterlandpleinbuurt),63 m²,2 rooms,Upholstered,€994 per month
